id_orden,cliente,producto,cantidad,precio_unitario,fecha,destino,estado_pago
8c2fb6bc-a68e-46f6-ba31-ef25ea1e56bc,"Mitchell, Hunter and Rodriguez",Monitor,10.0,1000,2025-03-17,CDMX,Rechazado
02e7f572-b243-4bba-990c-cd83c16f2195,Prince-Moses,Tablet,20.0,1500,2025-03-03,Hamburgo,Pendiente
162715e6-9d2c-45eb-835e-e58a036d6c88,Young LLC,Monitor,5.0,1500,2025-05-03,Hamburgo,Pagado
01edadda-f6ea-4840-9e39-7cf10e2f45e9,Holt-Montgomery,Impresora,10.0,1000,2025-01-16,CDMX,Rechazado
da707d5c-348c-4cf5-ba32-993cdb9aed58,Stout Inc,Tablet,20.0,500,2025-03-19,Hamburgo,Rechazado
308193ff-93f8-4cee-915b-b2b1ce1cf417,"Ward, Smith and Henry",Laptop,1.0,500,2025-02-15,Shenzhen,Rechazado
2755eda2-8797-468d-92df-4ef3823ad89a,Parker-Jimenez,Tablet,1.0,500,2025-01-30,CDMX,Rechazado
4379cff5-23a0-47cf-b429-7fe7a1552e58,Dawson LLC,Laptop,20.0,1500,2025-04-13,CDMX,Pagado
577663b3-a6e2-4628-b9c8-40f41acdf5f2,Jackson and Sons,Tablet,1.0,500,2025-05-19,Shenzhen,Pendiente
a09158f1-be15-4c2f-b450-4d0de69d4162,Huffman-Hobbs,Laptop,10.0,2000,2025-05-14,Hamburgo,Pendiente
3a9e9273-89c3-4d03-8656-ca7a3b9ecb7a,Macdonald-Brown,Tablet,20.0,1000,2025-05-19,Los Angeles,Rechazado
ce763a54-96c1-4f29-bc42-9c207b832ad1,Dawson LLC,Tablet,5.0,500,2025-05-26,Shenzhen,Pagado
8109c948-2b70-43b8-9fde-f8848bb0521c,Pierce and Sons,Smartphone,20.0,1000,2025-02-23,CDMX,Pagado
33f2b74c-1477-4773-ad70-725129fcd019,Green-Hays,Monitor,5.0,500,2025-05-04,Hamburgo,Pagado
1b4d8ef9-aeff-4e77-bf00-17a5401587f9,Dawson LLC,Laptop,20.0,1000,2025-01-18,CDMX,Pagado
d0db5581-5f88-43f7-9448-1469759f86a0,Morse-Marshall,Monitor,20.0,2000,2025-01-11,CDMX,Pendiente
8a32afb0-7911-4bac-8d76-33a79a092d09,"Young, Bryant and Rodriguez",Monitor,1.0,2000,2025-04-24,CDMX,Rechazado
4a16d114-fd00-4dd4-b30c-012589d980b4,Macdonald-Brown,Monitor,10.0,1500,2025-06-15,Hamburgo,Rechazado
6659ef8a-d7ed-4ee6-830a-4198b89c4459,Macdonald-Brown,Smartphone,1.0,1000,2025-04-24,Shenzhen,Pendiente
4e82122d-8cdb-4264-ab91-d32f251761bc,"Young, Bryant and Rodriguez",Impresora,5.0,1000,2025-01-19,Monterrey,Rechazado
c2a3a287-3ecc-46d0-a3b9-16c237dce50a,"Hernandez, Lane and Lewis",Laptop,1.0,1500,2025-02-12,Hamburgo,Pagado
f02011c0-7180-4f7d-a47d-0b16fe732d42,Johnston-Gonzalez,Laptop,5.0,500,2025-02-05,CDMX,Pendiente
5172afd0-0baf-4bfd-9e3b-ec4018ee737e,Braun-Garcia,Impresora,1.0,2000,2025-04-23,Hamburgo,Pendiente
f5b43c52-1a45-46a4-884b-840b21230f11,Green-Nelson,Smartphone,1.0,1500,2025-04-03,Los Angeles,Rechazado
119baa1a-7d0f-45e1-b8cd-be41eae5f0bd,"Young, Bryant and Rodriguez",Monitor,1.0,2000,2025-04-09,CDMX,Rechazado
ec81c1c9-8814-40ed-800e-591f30b7e1c5,Tucker-Ball,Laptop,20.0,500,2025-05-06,Monterrey,Pagado
